family,marker,clinical_variable,n,beta,beta_ci95_low,beta_ci95_high,p,shapiro_resid_p,breusch_pagan_p,frac_cook_gt_4_over_n,max_vif_numeric,reset_p,assumption_flag,inference_tier,q_fdr_bh
abd,abd_mir146b,gingival_index,108,0.1558905155228236,0.0002023862520711961,0.311578644793576,0.049708522410834205,0.0011562870496972227,0.3546643256075047,0.06481481481481481,7414.619197098459,0.8755464659407168,review,exploratory_adjusted,0.49098745418381556
abd,abd_mir146b,pocket_depth,108,-0.026651181425966675,-0.22696202298093113,0.17365966012899778,0.792368807210351,0.00017894366897037281,7.38478731428184e-06,0.10185185185185185,7414.619197098459,0.3231097561617762,review,exploratory_adjusted,0.888928766883018
abd,abd_mir146b,bleeding_on_probing,108,7.533804538614526,1.7688002762525148,13.298808800976538,0.010944499220445504,0.0071919918909281,0.0007738756219836858,0.046296296296296294,7414.619197098459,0.05301173626447204,review,exploratory_adjusted,0.32833497661336514
abd,abd_mir146b,number_of_missing_teeth,108,0.031599431553557655,-0.4161082243948879,0.47930708750200324,0.888928766883018,3.702669982265008e-11,0.8809562601714167,0.07407407407407407,7414.619197098459,0.8227959537905746,review,exploratory_adjusted,0.888928766883018
abd,abd_mir155,plaque_index,108,-0.08796472449546276,-0.30087262341492405,0.12494317442399853,0.4143766471762549,0.012741091266866261,0.03227270016164688,0.046296296296296294,7038.75379801363,0.8795282104691013,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir155,gingival_index,108,0.08548250035458918,-0.08560380986177507,0.25656881057095343,0.323975009437383,0.0008427532452263697,0.44834463698808347,0.037037037037037035,7038.75379801363,0.9417249666182932,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir155,pocket_depth,108,0.0228262382653438,-0.19501787355280797,0.24067035008349558,0.8357566999570158,0.0001281795268193234,2.129251008449009e-05,0.10185185185185185,7038.75379801363,0.34591589164186276,review,exploratory_adjusted,0.888928766883018
abd,abd_mir155,bleeding_on_probing,108,5.699165233475427,-0.6650423268725874,12.063372793823442,0.07867203105904105,0.019948738024645207,0.0012255967601534294,0.06481481481481481,7038.75379801363,0.03460330090385474,review,exploratory_adjusted,0.49098745418381556
abd,abd_mir155,number_of_missing_teeth,108,-0.06885382100503909,-0.5560816391415224,0.4183739971314442,0.779793184619912,3.720794666183563e-11,0.8828704482547965,0.05555555555555555,7038.75379801363,0.7789829472393603,review,exploratory_adjusted,0.888928766883018
abd,abd_mir203,plaque_index,108,0.1074960842726819,-0.11587565585238074,0.33086782439774454,0.34203068371801076,0.00922534019004283,0.03970025893121585,0.05555555555555555,10375.973516793296,0.4631589896843343,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir203,gingival_index,108,0.03832738269987557,-0.14048138054818318,0.21713614594793432,0.6715884088227367,0.0008787938053128502,0.41144601072325027,0.05555555555555555,10375.973516793296,0.7899209393825652,review,exploratory_adjusted,0.882606524394068
abd,abd_mir203,pocket_depth,108,0.25333348592137817,0.031724084752304205,0.4749428870904521,0.025476564170202522,0.0001789926114620399,1.9710749442418303e-05,0.08333333333333333,10375.973516793296,0.27086062651928233,review,exploratory_adjusted,0.38214846255303786
abd,abd_mir203,bleeding_on_probing,108,-0.8285146528707799,-7.540099283253583,5.883069977512023,0.8070441878001948,0.016267248148560013,0.0005631623498002454,0.07407407407407407,10375.973516793296,0.10398658895252647,review,exploratory_adjusted,0.888928766883018
abd,abd_mir203,number_of_missing_teeth,108,-0.19341709015868155,-0.7009726332904266,0.3141384529730634,0.4514376796017945,4.879272745591699e-11,0.7595735921740027,0.07407407407407407,10375.973516793296,0.5751840184882819,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir223,plaque_index,108,0.08945455832862176,-0.08674019612109635,0.26564931277833986,0.31627158326108845,0.007047486909888934,0.031570892509969486,0.046296296296296294,8824.040913553821,0.47389136723971903,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir223,gingival_index,108,-0.045773959173327494,-0.18591092580720112,0.09436300746054613,0.5184807793971856,0.00045889415331328075,0.3901882413255003,0.05555555555555555,8824.040913553821,0.7955599550062218,review,exploratory_adjusted,0.7777211690957785
abd,abd_mir223,pocket_depth,108,-0.06761178282790425,-0.24633619148838684,0.11111262583257833,0.45472895021227533,8.366717726901168e-05,5.702876214628426e-05,0.1111111111111111,8824.040913553821,0.19886863583966846,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir223,bleeding_on_probing,108,-1.114328430737424,-6.3997317979873785,4.171074936512531,0.6766650020354521,0.00920958541434471,0.00011545971224736004,0.08333333333333333,8824.040913553821,0.11811864222433548,review,exploratory_adjusted,0.882606524394068
abd,abd_mir223,number_of_missing_teeth,108,-0.046958684404743406,-0.4477600048427034,0.35384263603321653,0.8166837592987294,3.9537907893928705e-11,0.8775560115458683,0.07407407407407407,8824.040913553821,0.7976035818052829,review,exploratory_adjusted,0.888928766883018
abd,abd_mir381p,plaque_index,108,0.07374850076166126,-0.08723509456609194,0.23473209608941445,0.3656345572665796,0.011608907532714539,0.04208503627540046,0.05555555555555555,6564.090636306076,0.4259122247889268,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir381p,gingival_index,108,0.051107862711528215,-0.07758797189810039,0.1798036973211568,0.43266921308231493,0.0007020945445854284,0.28801643662870563,0.05555555555555555,6564.090636306076,0.8113261454616694,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir381p,pocket_depth,108,-0.07942933917108463,-0.24229918471302808,0.08344050637085881,0.3356361381923947,0.00017403300201705656,2.3691208593827213e-05,0.09259259259259259,6564.090636306076,0.34605526495693867,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir381p,bleeding_on_probing,108,-1.3369590617181566,-6.156670763988727,3.482752640552414,0.5833456860158895,0.01904862853744125,0.0007755810605397544,0.09259259259259259,6564.090636306076,0.11004242970780133,review,exploratory_adjusted,0.8333509800226994
abd,abd_mir381p,number_of_missing_teeth,108,0.13664370825595612,-0.22716981942771808,0.5004572359396303,0.4579633041674734,5.7587087835638964e-11,0.6023500173574505,0.06481481481481481,6564.090636306076,0.2646678740164233,review,exploratory_adjusted,0.7230999539486422
