family,marker,clinical_variable,beta_adj_std,p_adj,partial_r2,rho_unadj,rho_unadj_p,adj_r2_model,n,q_adj_fdr,classification
abd,abd_mir155,gingival_index,0.10584294593758445,0.323975009437384,0.009633059348514912,0.6456704737831562,4.5452433261e-14,0.6545964080112368,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir155,pocket_depth,0.01735220116358062,0.8357566999570142,0.00042759782322232385,0.578001708161044,5.751942711038872e-11,0.788914193839779,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir155,bleeding_on_probing,0.15187326497922804,0.07867203105904044,0.030298158607740436,0.7058966459419496,1.443956408927461e-17,0.7786111434298522,108,0.49098745418379114,mostly_group_or_structure_driven
abd,abd_mir155,number_of_missing_teeth,-0.04820519534305033,0.7797931846199269,0.0007774963054539253,0.17623057591086752,0.06808589046795616,0.10438227687245039,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir203,plaque_index,0.14602419002600908,0.34203068371800127,0.008942763775892851,0.6756933157048841,1.0394957362519591e-15,0.5969719107020426,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir203,gingival_index,0.060325777595294255,0.671588408822714,0.0017869325766111577,0.6573487210037621,1.1001262768172438e-14,0.6532793823510975,108,0.8826065243940842,mostly_group_or_structure_driven
abd,abd_mir203,pocket_depth,0.24480590531606705,0.025476564170202522,0.04844902952992097,0.6365533399607642,1.3193642296882592e-13,0.7992528077305638,108,0.38214846255303786,mostly_group_or_structure_driven
abd,abd_mir203,bleeding_on_probing,-0.028065923544970305,0.8070441878001993,0.0005933851220138842,0.7082836119639457,1.0063517433280237e-17,0.7737320886196386,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir203,number_of_missing_teeth,-0.17213520826720569,0.4514376796017397,0.005626215903888402,0.18873050707746838,0.050448711214830765,0.10683557561533474,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir223,plaque_index,0.13464713892244787,0.31627158326108845,0.009943134850279726,0.6307716139617583,2.5466948317901757e-13,0.5967698350094346,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir223,gingival_index,-0.07983158205504444,0.5184807793971844,0.00413975001240339,0.5673222362796569,1.536185289517409e-10,0.6575511614475146,108,0.7777211690957766,mostly_group_or_structure_driven
abd,abd_mir223,pocket_depth,-0.07239593327147548,0.4547289502122774,0.005545061086325786,0.5417153350697682,1.411508404616541e-09,0.7900436276522949,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir223,bleeding_on_probing,-0.04182682004664842,0.6766650020354645,0.0017288720235160964,0.6290572695096781,3.0868939262178433e-13,0.7743593699019914,108,0.8826065243940842,mostly_group_or_structure_driven
abd,abd_mir223,number_of_missing_teeth,-0.046307707110293694,0.8166837592988009,0.0005345465491745982,0.1693220282554968,0.0798007520173208,0.10440686340770944,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir381p,plaque_index,0.10454562341304033,0.3656345572665846,0.00811055555256307,0.6530332738979735,1.8717784932721177e-14,0.5962312835727801,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir381p,gingival_index,0.08394638222366317,0.43266921308232004,0.006107032945905032,0.6366537968149111,1.3042144469525334e-13,0.6535651196377725,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir381p,pocket_depth,-0.08009967232994908,0.3356361381923866,0.009181608628893577,0.5424191963986821,1.3313090381905775e-09,0.7908561732987767,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir381p,bleeding_on_probing,-0.047262615617404705,0.5833456860158797,0.0029890845312845545,0.6632477826436022,5.245417454086284e-15,0.77493627106069,108,0.8333509800226853,mostly_group_or_structure_driven
abd,abd_mir381p,number_of_missing_teeth,0.12690683200856154,0.45796330416747777,0.005466197616825062,0.23300236129241625,0.015234500111010314,0.11485888463413663,108,0.7230999539486491,mostly_group_or_structure_driven
